question,expected,retrieved,f1_score
Device security group isn't saving in Windows Autopilot device preparation policy.,"This issue usually occurs if  Intune Provisioning Client  with AppID of  f1346770-5b25-470b-88bd-d5744ab7952c  isn't the owner of the device group specified in the Windows Autopilot device preparation policy. When the issue occurs, one of the following error messages might display when saving the Windows Autopilot device preparation policy: 
 
 There was a problem with the device security group for <policy_name>. Check the group meets the requirements. 
 
 Failed to update security group device preparation setting: Updating security group for device preparation setting <policy_name> failed. Something went wrong. 
 
 
 Additionally,  Device group  in the Windows Autopilot device preparation policy shows  0 groups assigned . 
 To fix the issue, add the  Intune Provisioning Client  service principal with AppID of  f1346770-5b25-470b-88bd-d5744ab7952c  as the owner of the device security group specified in the Windows Autopilot device preparation policy. For more information, see  Create a device group .","This issue usually occurs if Intune Provisioning Client with AppID of f1346770-5b25-470b-88bd-d5744ab7952c isn't the owner of the device group specified in the Windows Autopilot device preparation policy. When the issue occurs, one of the following error messages might display when saving the Windows Autopilot device preparation policy:

There was a problem with the device security group for <policy_name>. Check the group meets the requirements.

Failed to update security group device preparation setting: Updating security group for device preparation setting <policy_name> failed. Something went wrong.


Additionally, Device group in the Windows Autopilot device preparation policy shows 0 groups assigned.
To fix the issue, add the Intune Provisioning Client service principal with AppID of f1346770-5b25-470b-88bd-d5744ab7952c as the owner of the device security group specified in the Windows Autopilot device preparation policy. For more information, see Create a device group.",1.0
Unable to find Intune Provisioning Client with AppID of f1346770-5b25-470b-88bd-d5744ab7952c when trying to set the owner of the Windows Autopilot device preparation policy device group.,"
 In some tenants, the service principal might have the name of  Intune Autopilot ConfidentialClient  instead of  Intune Provisioning Client . As long as the AppID of the service principal is  f1346770-5b25-470b-88bd-d5744ab7952c , it's the correct service principal. 
 
 If either  Intune Provisioning Client  or  Intune Autopilot ConfidentialClient  with AppID of  f1346770-5b25-470b-88bd-d5744ab7952c  doesn't exist in the tenant, it must be added via PowerShell commands. For more information, see  Adding the Intune Provisioning Client service principal . 
 
","In some tenants, the service principal might have the name of Intune Autopilot ConfidentialClient instead of Intune Provisioning Client. As long as the AppID of the service principal is f1346770-5b25-470b-88bd-d5744ab7952c, it's the correct service principal.

If either Intune Provisioning Client or Intune Autopilot ConfidentialClient with AppID of f1346770-5b25-470b-88bd-d5744ab7952c doesn't exist in the tenant, it must be added via PowerShell commands. For more information, see Adding the Intune Provisioning Client service principal.",1.0
Multiple Windows Autopilot device preparation policies exist and the device is getting the wrong policy.,"If multiple Windows Autopilot device preparation policies are deployed to a user, the policy with the highest priority gets priority. Policy priorities are displayed at the  Home  >  Enroll devices | Windows enrollment  >  Device preparation policies  screen. The policy with the highest priority is higher in the list and has the smallest number under the  Priority  column. To change a policy's priority, move it in the list by dragging the policy within the list.","If multiple Windows Autopilot device preparation policies are deployed to a user, the policy with the highest priority gets priority. Policy priorities are displayed at the Home > Enroll devices | Windows enrollment > Device preparation policies screen. The policy with the highest priority is higher in the list and has the smallest number under the Priority column. To change a policy's priority, move it in the list by dragging the policy within the list.",1.0
What is the Services Hub dashboard?,"Your Services Hub dashboard allows you
to stay on top of issues so they can
be resolved quickly.","Your Services Hub dashboard allows you
to stay on top of issues so they can
be resolved quickly.",1.0
What does the Services Hub dashboard display?,"In your Services Hub dashboard, you can
find summary information about your
Microsoft Services and support
information with tailored
recommendations.","In your Services Hub dashboard, you can
find summary information about your
Microsoft Services and support
information with tailored
recommendations.",1.0
How do I sign out of the Services Hub?,"Select your name in the top right
corner of Microsoft Services Hub,
then select ""Sign Out"".","Select your name in the top right
corner of Microsoft Services Hub,
then select ""Sign Out"".",1.0
Can I customize my dashboard?,"At this time, the dashboard isn't
customizable.","At this time, the dashboard isn't
customizable.",0.9999999403953552
Why does the dashboard use multiple different fonts?,"The variety of layout styles help
organize and draw attention to
separate pieces of information.","The variety of layout styles help
organize and draw attention to
separate pieces of information.",1.0
Is there a preferred browser to use for viewing the Services Hub dashboard?,"You can view the Services Hub in most
commonly-used web browsers.","You can view the Services Hub in most
commonly-used web browsers.",1.0
Can I access the Services Hub dashboard from a mobile device?,"Yes, you can view the Services Hub
in a mobile web browser app.","Yes, you can view the Services Hub
in a mobile web browser app.",1.0
How do I set the language in Services Hub?,"To set your language, use the Services
Hub footer next to the globe icon.","To set your language, use the Services
Hub footer next to the globe icon.",1.0
Where does the dashboard data come from?,"The data in your dashboard comes from
various sources including your
agreement, services, and support
information.","The data in your dashboard comes from
various sources including your
agreement, services, and support
information.",1.0
Can I drill into data in my dashboard to see details?,"You can drill into the dashboard tiles
to view additional information where
available.","You can drill into the dashboard tiles
to view additional information where
available.",1.0
The data in my Services Hub dashboard is incorrect. How do I get help?,"If you don't see data that's accurate,
open a support request.","If you don't see data that's accurate,
open a support request.",1.0
Where does the Proactive Services chart come from?,"The Proactive Services chart displaysa breakdown of all engagements listed
inside your Services Delivery Plan
(SDP). SDPs can span multiple
agreement years.","The Proactive Services chart displays
a breakdown of all engagements listed
inside your Services Delivery Plan
(SDP). SDPs can span multiple
agreement years.",0.9963712692260742
"What does ""Other"" mean in the Proactive Services chart?","Microsoft Services uses a classic
deployment model framework to classify
engagements into three categories
(Maintain-Optimize-Educate). When a
service is delivered as a custom
engagement, it's listed outside of
that framework as ""Other"".","Microsoft Services uses a classic
deployment model framework to classify
engagements into three categories
(Maintain-Optimize-Educate). When a
service is delivered as a custom
engagement, it's listed outside of
that framework as ""Other"".",1.000000238418579
Why do I have no Upcoming Services shown in Available Services?,"Upcoming Services lists services
scheduled by your Customer Success
Account Manager (CSAM). If this field
is empty, it means you have no
scheduled services upcoming at
this time.","Upcoming Services lists services
scheduled by your Customer Success
Account Manager (CSAM). If this field
is empty, it means you have no
scheduled services upcoming at
this time.",1.0
Can I modify an application proxy app from the **App registrations** page in the Microsoft Entra admin center?,"No, the following configuration items are being used by app proxy and shouldn't be altered or deleted:","No, the following configuration items are being used by app proxy and shouldn't be altered or deleted:

Enable/Disable âAllow public clients flowsâ.
CWAP_AuthSecret (Client secrets).
API Permissions.
Modifying any of the above configuration items on the App registration page breaks preauthentication for Microsoft Entra application proxy.",0.7452235221862793
Can I delete an application proxy app from the App registrations page in the Microsoft Entra admin center?,"No, you should delete an application proxy app from theEnterprise applicationsarea of the Microsoft Entra admin center. If you delete the application proxy app from theApp registrationsarea of the Microsoft Entra admin center, then you could experience issues.","No, you should delete an application proxy app from the Enterprise applications area of the Microsoft Entra admin center. If you delete the application proxy app from the App registrations area of the Microsoft Entra admin center, then you could experience issues.",0.9788961410522461
What license is required to use Microsoft Entra application proxy?,"To use Microsoft Entra application proxy, you must have a Microsoft Entra ID P1 or P2 license. For more information about licensing, seeMicrosoft Entra pricing","To use Microsoft Entra application proxy, you must have a Microsoft Entra ID P1 or P2 license. For more information about licensing, see Microsoft Entra pricing",0.9560343027114868
"What happens to Microsoft Entra application proxy in my tenant, if my license expires?","If your license expires, application proxy is automatically disabled. Your application information is saved for up to one year.","If your license expires, application proxy is automatically disabled. Your application information is saved for up to one year.",0.9999999403953552
Why is the Enable application proxy button grayed out?,"Make sure you have at least a Microsoft Entra ID P1 or P2 license and a Microsoft Entra private network connector installed. After you successfully install your first connector, the Microsoft Entra application proxy service is enabled automatically.","Make sure you have at least a Microsoft Entra ID P1 or P2 license and a Microsoft Entra private network connector installed. After you successfully install your first connector, the Microsoft Entra application proxy service is enabled automatically.",1.0
What are TCP ports 10200 and 10201 used for?,"Using a port scan utility on application proxy public endpoints (msappproxy.net or custom) may show that TCP ports 10200 and 10201 are open, in addition to ports 80 and/or 443. These ports are used for internal service health monitoring purposes. No customer data is accessible over these ports, and the services behind them do not process any information; they simply respond with ""OK"".","Using a port scan utility on application proxy public endpoints (msappproxy.net or custom) may show that TCP ports 10200 and 10201 are open, in addition to ports 80 and/or 443. These ports are used for internal service health monitoring purposes. No customer data is accessible over these ports, and the services behind them do not process any information; they simply respond with ""OK"".",1.0000001192092896
Does application proxy use the same connector as Microsoft Entra Private Access?,"Yes, Microsoft Entra private network connector is used by both application proxy and Microsoft Entra Private Access. To learn more about the connector, seeMicrosoft Entra private network connector.
To troubleshoot connector configuration, seetroubleshoot connectors.","Yes, Microsoft Entra private network connector is used by both application proxy and Microsoft Entra Private Access. To learn more about the connector, see Microsoft Entra private network connector.
To troubleshoot connector configuration, see troubleshoot connectors.",0.9814368486404419
ConnectorTroubleshooter cannot start,"The ConnectorTroubleshooterLauncher.exe is deprecated and no longer functional. Currently, there is no replacement available.","The ConnectorTroubleshooterLauncher.exe is deprecated and no longer functional. Currently, there is no replacement available.",1.0
Can I Change the Logon User of the Microsoft Entra Private Network Connector / Updater Services?,Changing the logon user of the connector or updater service is not supported. Correct Configuration: Microsoft Entra Private Network Connector:Network ServiceMicrosoft Entra Private Network Connector Updater:NT Authority\System,"Changing the logon user of the connector or updater service is not supported.
Correct Configuration:
Microsoft Entra Private Network Connector: Network Service
Microsoft Entra Private Network Connector Updater: NT Authority\System",0.9774148464202881
Can I use the domain suffixes `[tenant name].onmicrosoft.com` or `[tenant name].mail.onmicrosoft.com` in the external URL?,"Although these suffixes appear in the suffix list, you shouldn't use them. These domain suffixes aren't meant to be used with Microsoft Entra application proxy. If you use these domain suffixes, the created Microsoft Entra application proxy application won't work.
You can use either the standard domain suffixmsappproxy.netor acustom domain.","Although these suffixes appear in the suffix list, you shouldn't use them. These domain suffixes aren't meant to be used with Microsoft Entra application proxy. If you use these domain suffixes, the created Microsoft Entra application proxy application won't work.
You can use either the standard domain suffix msappproxy.net or a custom domain.",0.9700812101364136
Does application proxy support for sovereign and regional clouds?,"Microsoft Entra ID has an application proxy service that enables users to access on-premises applications by signing in with their Microsoft Entra account.
If you have installed connectors in different regions, you can optimize traffic by selecting the closest application proxy cloud service region to use with each connector group, seeOptimize traffic flow with Microsoft Entra application proxy.","Microsoft Entra ID has an application proxy service that enables users to access on-premises applications by signing in with their Microsoft Entra account.
If you have installed connectors in different regions, you can optimize traffic by selecting the closest application proxy cloud service region to use with each connector group, see Optimize traffic flow with Microsoft Entra application proxy.",0.9957565665245056
I'm receiving an error about an invalid certificate or possible wrong password.,"After you uploaded the SSL certificate, you receive the message ""Invalid certificate, possible wrong password"" on the portal. Here are some tips for troubleshooting this error:","After you uploaded the SSL certificate, you receive the message ""Invalid certificate, possible wrong password"" on the portal.
Here are some tips for troubleshooting this error:

Check for problems with the certificate. Install it on your local computer. If you don't experience any issues then the certificate is good.
Ensure that the password doesn't contain any special characters. The password should only contain the characters 0-9, A-Z, and a-z.
If the certificate was created with Microsoft Software Key Storage Provider, the RSA algorithm must be used.",0.9312212467193604
"What is the length of the default and ""long"" backend timeout? Can the timeout be extended?","The default length is 85 seconds. The ""long"" setting is 180 seconds. The timeout limit can't be extended.","The default length is 85 seconds. The ""long"" setting is 180 seconds. The timeout limit can't be extended.",1.0
Can a service principal manage application proxy using PowerShell or Microsoft Graph APIs?,"No, this is currently not supported.","No, this is currently not supported.",0.9999999403953552
What happens if I delete CWAP_AuthSecret (the client secret) in the app registration?,"The client secret, also calledCWAP_AuthSecret, is automatically added to the application object (app registration) when the Microsoft Entra application proxy app is created. The client secret is valid for one year. A new one-year client secret is automatically created before the current valid client secret expires. Three CWAP_AuthSecret client secrets are kept in the application object always. Important Deleting CWAP_AuthSecret breaks preauthentication for Microsoft Entra application proxy. Don't delete CWAP_AuthSecret.","The client secret, also called CWAP_AuthSecret, is automatically added to the application object (app registration) when the Microsoft Entra application proxy app is created.
The client secret is valid for one year. A new one-year client secret is automatically created before the current valid client secret expires. Three CWAP_AuthSecret client secrets are kept in the application object always.

Important
Deleting CWAP_AuthSecret breaks preauthentication for Microsoft Entra application proxy. Don't delete CWAP_AuthSecret.",0.9800952672958374
"I'm using or want to use Microsoft Entra application proxy. Can I replace the ""onmicrosoft.com"" fallback domain of my tenant in Microsoft 365 as suggested in the article ""Add and replace your onmicrosoft.com fallback domain in Microsoft 365""?","No, you must use the original fallback domain. Article mentioned in question:Add and replace your onmicrosoft.com fallback domain in Microsoft 365","No, you must use the original fallback domain.
Article mentioned in question: Add and replace your onmicrosoft.com fallback domain in Microsoft 365",1.0000001192092896
How do I change the landing page my application loads?,"From the Application Registrations page, you can change the homepage URL to the desired external URL of the landing page. The specified page is loaded when the application is launched from My Apps or the Office 365 Portal. For configuration steps, seeSet a custom home page for published apps by using Microsoft Entra application proxy","From the Application Registrations page, you can change the homepage URL to the desired external URL of the landing page. The specified page is loaded when the application is launched from My Apps or the Office 365 Portal. For configuration steps, see Set a custom home page for published apps by using Microsoft Entra application proxy",0.9979344606399536
"Why do I get redirected to a truncated URL when I try to access my published application whenever the  URL contains a ""#""  (hashtag) character?","If Microsoft Entra preauthentication is configured, and the application URL contains a â€œ#â€ character when you try to access the application for the first time, you get redirected to Microsoft Entra ID (login.microsoftonline.com) for the authentication. Once you complete the authentication, you get redirected to the URL part prior to the â€#â€ character and everything that comes after the â€œ#â€œ seems to be ignored/ removed. For example if the URL ishttps://www.contoso.com/#/home/index.html, once the Microsoft Entra authentication is done the user is redirected tohttps://www.contoso.com/.
This behavior is by design due to how the â€œ#â€ character is handled by the browser. Possible solutions/  alternatives:","If Microsoft Entra preauthentication is configured, and the application URL contains a â#â character when you try to access the application for the first time, you get redirected to Microsoft Entra ID (login.microsoftonline.com) for the authentication. Once you complete the authentication, you get redirected to the URL part prior to the â#â character and everything that comes after the â#â seems to be ignored/ removed. For example if the URL is https://www.contoso.com/#/home/index.html, once the Microsoft Entra authentication is done the user is redirected to https://www.contoso.com/.
This behavior is by design due to how the â#â character is handled by the browser.
Possible solutions/  alternatives:

Set up a redirection from https://www.contoso.com to https://contoso.com/#/home/index.html. The user must first access https://www.contoso.com.
The URL used for the first access attempt must include the â#â character in encoded form (%23). The published server might not accept this.
Configure passthrough preauthentication type (not recommended).",0.906391978263855
Can only IIS-based applications be published? What about web applications running on non-Windows web servers? Does the connector have to be installed on a server with IIS installed?,"No, there's no IIS requirement for applications that are published. You can publish web applications running on servers other than Windows Server. However, you might not be able to use preauthentication with a non-Windows Server, depending on if the web server supports Negotiate (Kerberos authentication). IIS isn't required on the server where the connector is installed.","No, there's no IIS requirement for applications that are published. You can publish web applications running on servers other than Windows Server. However, you might not be able to use preauthentication with a non-Windows Server, depending on if the web server supports Negotiate (Kerberos authentication). IIS isn't required on the server where the connector is installed.",1.0
Can I configure application proxy to add the HSTS header?,"Application proxy doesn't automatically add the HTTP Strict-Transport-Security header to HTTPS responses, but it maintains the header if it is in the original response sent by the published application. Proving a setting to enable this functionality is on the roadmap.","Application proxy doesn't automatically add the HTTP Strict-Transport-Security header to HTTPS responses, but it maintains the header if it is in the original response sent by the published application. Proving a setting to enable this functionality is on the roadmap.",1.0000001192092896
Can I use a custom port number in the external URL?,"No, if the protocolhttpis configured in the external URL then the Microsoft Entra application proxy endpoint accepts incoming request on the port TCP 80, if the protocolhttpsthen on the port TCP 443.","No, if the protocol http is configured in the external URL then the Microsoft Entra application proxy endpoint accepts incoming request on the port TCP 80, if the protocol https then on the port TCP 443.",0.9737478494644165
Can I use a custom port number in the internal URL?,"Yes, some examples for internal URLs including ports:http://app.contoso.local:8888/,https://app.contoso.local:8080/,https://app.contoso.local:8081/test/.","Yes, some examples for internal URLs including ports: http://app.contoso.local:8888/, https://app.contoso.local:8080/, https://app.contoso.local:8081/test/.",0.9999999403953552
"What are the challenges, if the external and the internal URLs are different?","Some responses sent by the published web applications might contain hard-coded URLs.
In this case it must be ensured by using a link translation solution that the client always uses the correct URL.
Link translation solutions might be complex and might not work in all the scenarios. You can findhereour documented solutions for link translation. As best practice it's advised to use identical external and internal URLs. External and internal URLs are considered to be identical, if theprotocol://hostname:port/path/in both URLs are identical. This can be achieved by using theCustom Domainsfeature. Examples: Identical: Not identical: Making the external and internal URLs identical isn't possible at all, if the internal URL contains a nonstandard port (other than TCP 80 / 443). In some scenarios changes must be done in the configuration of the web app.","Some responses sent by the published web applications might contain hard-coded URLs.
In this case it must be ensured by using a link translation solution that the client always uses the correct URL.
Link translation solutions might be complex and might not work in all the scenarios. You can find here our documented solutions for link translation.
As best practice it's advised to use identical external and internal URLs. External and internal URLs are considered to be identical, if the protocol://hostname:port/path/ in both URLs are identical.
This can be achieved by using the Custom Domains feature.
Examples:
Identical:
External URL: https://app1.contoso.com/test/
Internal URL: https://app1.contoso.com/test/

Not identical:
External URL: https://app1.contoso.com/test/
Internal URL: http://app1.contoso.com/test/

External URL: https://app1.contoso.com/test/
Internal URL: https://app1.contoso.com:8080/test/

External URL: https://app1.msappproxy.net/test/
Internal URL: https://app1.contoso.com:/test/

Making the external and internal URLs identical isn't possible at all, if the internal URL contains a nonstandard port (other than TCP 80 / 443).
In some scenarios changes must be done in the configuration of the web app.",0.8914108276367188
When should I use the PrincipalsAllowedToDelegateToAccount method when setting up Kerberos Constrained Delegation (KCD)?,"The PrincipalsAllowedToDelegateToAccount method is used when connector servers are in a different domain from the web application service account. It requires the use of Resource-based Constrained Delegation.
If the connector servers and the web application service account are in the same domain, you can use Active Directory Users and Computers to configure the delegation settings on each of the connector machine accounts, allowing them to delegate to the target SPN. If the connector servers and the web application service account are in different domains, Resource-based delegation is used. The delegation permissions are configured on the target web server and web application service account. This method of Constrained Delegation is relatively new. The method was introduced in Windows Server 2012, which supports cross-domain delegation by allowing the resource (web service) owner to control which machine and service accounts can delegate to it. There's no UI to assist with this configuration, so you need to use PowerShell.
For more information, see the whitepaperUnderstanding Kerberos Constrained Delegation with application proxy.","The PrincipalsAllowedToDelegateToAccount method is used when connector servers are in a different domain from the web application service account. It requires the use of Resource-based Constrained Delegation.
If the connector servers and the web application service account are in the same domain, you can use Active Directory Users and Computers to configure the delegation settings on each of the connector machine accounts, allowing them to delegate to the target SPN.
If the connector servers and the web application service account are in different domains, Resource-based delegation is used. The delegation permissions are configured on the target web server and web application service account. This method of Constrained Delegation is relatively new. The method was introduced in Windows Server 2012, which supports cross-domain delegation by allowing the resource (web service) owner to control which machine and service accounts can delegate to it. There's no UI to assist with this configuration, so you need to use PowerShell.
For more information, see the whitepaper Understanding Kerberos Constrained Delegation with application proxy.",0.9984185099601746
Does NTLM authentication work with Microsoft Entra application proxy?,NTLM authentication canâ€™t be used as a preauthentication or single sign-on method. NTLM authentication can be used only when it can be negotiated directly between the client and the published web application. Using NTLM authentication usually causes a sign-in prompt to appear in the browser.,NTLM authentication canât be used as a preauthentication or single sign-on method. NTLM authentication can be used only when it can be negotiated directly between the client and the published web application. Using NTLM authentication usually causes a sign-in prompt to appear in the browser.,0.9874603748321533
Can I use the sign in identity âOn-premises user principal nameâ or âOn-premises SAM account nameâ in a B2B IWA single sign-on scenario?,"No, this wonât work, because a guest user in Microsoft Entra ID doesn't have the attribute that is required by any of the sign in identities mentioned above. 
 In this case there's a fallback to âUser principal nameâ. For more details on the B2B scenario, please read  Grant B2B users in Microsoft Entra ID access to your on-premises applications .","No, this wonât work, because a guest user in Microsoft Entra ID doesn't have the attribute that is required by any of the sign in identities mentioned above.
In this case there's a fallback to âUser principal nameâ. For more details on the B2B scenario, please read Grant B2B users in Microsoft Entra ID access to your on-premises applications.",1.0000001192092896
Can I use Conditional Access Policies for applications published with passthrough preauthentication?,"Conditional Access Policies are only enforced for successfully authenticated users in Microsoft Entra ID. Passthrough preauthentication doesnâ€™t trigger Microsoft Entra authentication, so Conditional Access Policies can't be enforced. With passthrough preauthentication, MFA policies must be implemented on the on-premises server, if possible, or by enabling Microsoft Entra ID preauthentication with Microsoft Entra application proxy.","Conditional Access Policies are only enforced for successfully authenticated users in Microsoft Entra ID. Passthrough preauthentication doesnât trigger Microsoft Entra authentication, so Conditional Access Policies can't be enforced. With passthrough preauthentication, MFA policies must be implemented on the on-premises server, if possible, or by enabling Microsoft Entra ID preauthentication with Microsoft Entra application proxy.",0.998110830783844
Can I publish a web application with client certificate authentication requirement?,"No, this scenario isn't supported because application proxy terminates TLS traffic.","No, this scenario isn't supported because application proxy terminates TLS traffic.",1.0000001192092896
How can I publish Remote Desktop Gateway over Microsoft Entra application proxy?,Refer toPublish Remote Desktop with Microsoft Entra application proxy.,Refer to Publish Remote Desktop with Microsoft Entra application proxy.,0.8858336210250854
Can I use Kerberos Constrained Delegation (single sign-on - Windows Integrated Authentication) in the Remote Desktop Gateway publishing scenario?,"No, this scenario isn't supported.","No, this scenario isn't supported.",1.000000238418579
My users don't use Internet Explorer 11 and the preauthentication scenario doesnât work for them. Is this expected?,"Yes, itâs expected. The preauthentication scenario requires an ActiveX control, which isn't supported in third-party browsers.","Yes, itâs expected. The preauthentication scenario requires an ActiveX control, which isn't supported in third-party browsers.",1.0
Is the Remote Desktop Web Client (HTML5) supported?,"Yes, this scenario is currently in public preview. Refer toPublish Remote Desktop with Microsoft Entra application proxy.","Yes, this scenario is currently in public preview. Refer to Publish Remote Desktop with Microsoft Entra application proxy.",0.9294052720069885
"After I configured the preauthentication scenario, I realized that the user has to authenticate twice: first on the Microsoft Entra sign-in form, and then on the RDWeb sign-in form. Is this expected? How can I reduce this to one sign-in?","Yes, it's expected. If the userâ€™s computer is Microsoft Entra joined, the user signs in to Microsoft Entra ID automatically. The user needs to provide their credentials only on the RDWeb sign-in form.","Yes, it's expected. If the userâs computer is Microsoft Entra joined, the user signs in to Microsoft Entra ID automatically. The user needs to provide their credentials only on the RDWeb sign-in form.",0.9779738187789917
"Can I use the Resources Launch Method option ""Download the rdp file"" under Settings on the Remote Desktop Web Client Portal in Microsoft Entra preauthentication scenario?","This option enables the user to download the rdp file and use it by another RDP client (outside of the Remote Desktop Web Client). Typically, another RDP clients (like the Microsoft Remote Desktop Client) can't handle the preauthentication natively. That's why the scenario doesn't work.","This option enables the user to download the rdp file and use it by another RDP client (outside of the Remote Desktop Web Client). Typically, another RDP clients (like the Microsoft Remote Desktop Client) can't handle the preauthentication natively. That's why the scenario doesn't work.",1.0
How can I publish SharePoint over Microsoft Entra application proxy?,Refer toEnable remote access to SharePoint with Microsoft Entra application proxy.,Refer to Enable remote access to SharePoint with Microsoft Entra application proxy.,0.9534579515457153
Can I use the SharePoint mobile app (iOS/ Android) to access a published SharePoint Server?,TheSharePoint mobile appdoesn't support Microsoft Entra preauthentication currently.,The SharePoint mobile app doesn't support Microsoft Entra preauthentication currently.,0.8936882019042969
Can I use Microsoft Entra application proxy as AD FS proxy (like Web application proxy)?,"No, Microsoft Entra application proxy is designed to work with Microsoft Entra ID and doesnâ€™t fulfill the requirements to act as an AD FS proxy.","No, Microsoft Entra application proxy is designed to work with Microsoft Entra ID and doesnât fulfill the requirements to act as an AD FS proxy.",0.9973092675209045
Can I use Microsoft Entra application proxy to publish any AD FS endpoint (like /adfs/portal/updatepassword/)?,"No, this isn't supported.","No, this isn't supported.",0.9999998807907104
Does Microsoft Entra application proxy support the WebSocket protocol?,"Applications that use the WebSocket protocol, for example QlikSense and Remote Desktop Web Client (HTML5), are now supported. The following are known limitations: The WebSocket application doesn't have any unique publishing requirements, and can bepublishedthe same way as all your other application proxy applications.","Applications that use the WebSocket protocol, for example QlikSense and Remote Desktop Web Client (HTML5), are now supported. The following are known limitations:

Application proxy discards the cookie that is set on the server response while opening the WebSocket connection.
There's no SSO applied to the WebSocket request.
Features (Eventlogs, PowerShell, and Remote Desktop Services) in the Windows Admin Center (WAC) don't work through Microsoft Entra application proxy.

The WebSocket application doesn't have any unique publishing requirements, and can be published the same way as all your other application proxy applications.",0.8295865058898926
Does using Link translation affect performance?,"Yes. Link translation affects performance. The application proxy service scans the application for hardcoded links and replaces them with their respective, published external URLs before presenting them to the user. For best performance, we recommend using identical internal and external URLs by configuringcustom domains. If using custom domains isn't possible, you can improve link translation performance by using the My Apps Secure Sign in Extension or Microsoft Edge Browser on mobile. SeeRedirect hardcoded links for apps published with Microsoft Entra application proxy.","Yes. Link translation affects performance. The application proxy service scans the application for hardcoded links and replaces them with their respective, published external URLs before presenting them to the user.
For best performance, we recommend using identical internal and external URLs by configuring custom domains. If using custom domains isn't possible, you can improve link translation performance by using the My Apps Secure Sign in Extension or Microsoft Edge Browser on mobile. See Redirect hardcoded links for apps published with Microsoft Entra application proxy.",0.996896505355835
"How do I use wildcards to publish two applications with the same custom domain name but with different protocols, one for HTTP and one for HTTPS?","This scenario isn't supported directly. Your options for this scenario are: Publish both the HTTP and HTTPS URLs as separate applications with a wildcard, but give each of them a different custom domain. This configuration works since they have different external URLS. Publish the HTTPS URL through a wildcard application. Publish the HTTP applications separately using these application proxy PowerShell cmdlets:","This scenario isn't supported directly. Your options for this scenario are:

Publish both the HTTP and HTTPS URLs as separate applications with a wildcard, but give each of them a different custom domain. This configuration works since they have different external URLS.

Publish the HTTPS URL through a wildcard application. Publish the HTTP applications separately using these application proxy PowerShell cmdlets:

Application proxy application management
private network connector management",0.979121744632721
"Can you delegate ""logging"" to remote administrators?",No. It is in the site section and only machine administrators can modify this section. You can only delegate whether to log or not.,No. It is in the site section and only machine administrators can modify this section. You can only delegate whether to log or not.,1.0
What kind of load does a custom logging module put on the server? (Disabling the kernel mode cache).,"It depends entirely on the application and the logging module implementation. If you are maxing CPU while serving static files, logging to SQL will be very heavy. If you're doing 50 requests/second, logging to SQL will most likely be able to keep up. You are losing the benefits of kernel-mode caching however.","It depends entirely on the application and the logging module implementation. If you are maxing CPU while serving static files, logging to SQL will be very heavy. If you're doing 50 requests/second, logging to SQL will most likely be able to keep up. You are losing the benefits of kernel-mode caching however.",0.9999999403953552
Is there logging of delegated administration? Can we do an audit of delegated administrators?,"The only logging currently available is located in  %systemdrive%\inetpub\logs\wmsvc  However, it does not give any useful information about what was actually done or even which object they connected to, since those are part of the headers. We are looking into changing some of the remoting behavior to use QueryString for certain things so that they can query the log. 
 For example, moving the Module Service and the Method we are invoking as part of the query string would automatically place it in the log. That way you can figure out what is being done in their site. Also, the SiteName and the Application Path that you connected to should be there (connected to default web site), and potentially the current configuration path you are connecting to (now editing MyApp under my Default Web Site connection). One thing we should never include in the query string are arguments, since we do not want potentially sensitive information ending up in your log. This will also prevent the ""email link"" phishing attack.","The only logging currently available is located in %systemdrive%\inetpub\logs\wmsvc However, it does not give any useful information about what was actually done or even which object they connected to, since those are part of the headers. We are looking into changing some of the remoting behavior to use QueryString for certain things so that they can query the log.
For example, moving the Module Service and the Method we are invoking as part of the query string would automatically place it in the log. That way you can figure out what is being done in their site. Also, the SiteName and the Application Path that you connected to should be there (connected to default web site), and potentially the current configuration path you are connecting to (now editing MyApp under my Default Web Site connection). One thing we should never include in the query string are arguments, since we do not want potentially sensitive information ending up in your log. This will also prevent the ""email link"" phishing attack.",1.0000001192092896
Is there is an option to do auditing of the applicationhost.config file?,"Applicationhost.config is a file, the file system supports auditing. There is also a configuration history feature (not for auditing, but to help remember your last few configurations).","Applicationhost.config is a file, the file system supports auditing. There is also a configuration history feature (not for auditing, but to help remember your last few configurations).",1.0
Can the central W3CLogFile point to UNC share?,"Yes, it can point to a UNC share.","Yes, it can point to a UNC share.",1.0
Can multiple front ends write to the same log file on a share?,"No, because there is no serialization service that would serialize file access between different writers. The utility Log Parser supports merging log files and potentially supports inserting them into SQL. 
 
 Note 
 Writing to separate logfiles can also help you determine what requests are going to a particular server in the farm. This can be helpful if you are seeing sporadic errors and need to track down what server they occurred on. 
","No, because there is no serialization service that would serialize file access between different writers. The utility Log Parser supports merging log files and potentially supports inserting them into SQL.

Note
Writing to separate logfiles can also help you determine what requests are going to a particular server in the farm. This can be helpful if you are seeing sporadic errors and need to track down what server they occurred on.",1.000000238418579
